,Fire,Aqua,Elec,Ice,Wind,Earth,Light,Dark,Void,Metal,Nature,Sound,Gravity,Time,Blood,Poison,Crystal,Plasma,Wood,Null,Glitch
Fire,0,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1
Aqua,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1
Elec,-1,1,0,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1
Ice,-1,1,-1,0,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1
Wind,1,1,-1,-1,0,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1
Earth,1,-1,1,-1,-1,0,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1
Light,1,-1,1,1,-1,-1,0,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1
Dark,-1,1,-1,-1,1,1,-1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,1
Void,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Metal,-1,1,-1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1
Nature,-1,1,-1,-1,1,1,-1,-1,-1,-1,0,1,1,1,1,-1,1,1,1,1,1
Sound,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1
Gravity,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,1,1,1,1
Time,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1
Blood,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,1,-1
Poison,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,1,1,1,1
Crystal,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,1,1
Plasma,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1
Wood,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1
Null,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
Glitch,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0
